model,task,repeat,arm,passed,generation_calls,generation_tokens,standalone_preparation_tokens,source,record,record_sha256,original_record
gpt4o,eda_005,3,spicepilot,False,3,12764,0,formal-v1,records/units/gpt4o/eda_005/3/spicepilot/record.json,5cc5e27eec963a42ac3088ef8c3c4862fd3fd87fd649f638d00cceb4f9a6c970,formal-v1/units/gpt4o/eda_005/3/spicepilot/record.json
gpt4o,eda_005,3,direct,False,3,1984,0,formal-v1,records/units/gpt4o/eda_005/3/direct/record.json,c2dca96ded1ddaffc519c2430839a61c47809a909a9f7721a68fa558b5ef10f8,formal-v1/units/gpt4o/eda_005/3/direct/record.json
gpt4o,eda_005,2,analogcoder,False,1,2548,0,formal-v1,records/units/gpt4o/eda_005/2/analogcoder/record.json,71774ee1bb676ec5f2648dd3a89d1442c5eb00ded8a26e3c553971e01e9f0092,formal-v1/units/gpt4o/eda_005/2/analogcoder/record.json
gpt4o,eda_005,2,spicepilot,False,3,12716,0,formal-v1,records/units/gpt4o/eda_005/2/spicepilot/record.json,af6be1171ea5d3273bbc828e99fdf56f103f584388139e2c760a341def9796fe,formal-v1/units/gpt4o/eda_005/2/spicepilot/record.json
gpt4o,eda_005,2,direct,False,3,1991,0,formal-v1,records/units/gpt4o/eda_005/2/direct/record.json,e50eff909685e73530bd89113eb9a5ac800b9343587f5b17449a8e55c6cf06da,formal-v1/units/gpt4o/eda_005/2/direct/record.json
gpt4o,eda_201,1,analogcoder,False,1,2702,0,formal-v1,records/units/gpt4o/eda_201/1/analogcoder/record.json,bdfa0ba2e3d20862bfcbc62af5824258035a191a4ce034038e544f4c0a326d3e,formal-v1/units/gpt4o/eda_201/1/analogcoder/record.json
gpt4o,eda_201,1,spicepilot,False,3,12863,0,formal-v1,records/units/gpt4o/eda_201/1/spicepilot/record.json,495f918f09e31088c837488f883fa0a4f8ba0cdb66e5a207a57f7302160697a9,formal-v1/units/gpt4o/eda_201/1/spicepilot/record.json
gpt4o,eda_201,1,direct,False,3,2185,0,formal-v1,records/units/gpt4o/eda_201/1/direct/record.json,d482d32266159b4f15f8940fc5b4b343dc075f45d745e09e968ded8f170d22d9,formal-v1/units/gpt4o/eda_201/1/direct/record.json
gpt4o,eda_201,3,analogcoder,True,1,2640,0,formal-v1,records/units/gpt4o/eda_201/3/analogcoder/record.json,ab6ca13f9d9db04fd2beb294a240b2057da5a5319546fc9a70a556c68a339452,formal-v1/units/gpt4o/eda_201/3/analogcoder/record.json
gpt4o,eda_201,3,spicepilot,False,3,12714,0,formal-v1,records/units/gpt4o/eda_201/3/spicepilot/record.json,f2bce3e4e0cb365890e2d4a1dc64f730242c65af34cc951fbfeb1f12b464e541,formal-v1/units/gpt4o/eda_201/3/spicepilot/record.json
gpt4o,eda_201,3,direct,True,2,1385,0,formal-v1,records/units/gpt4o/eda_201/3/direct/record.json,42cbe9e2d397ca084dec5d777807009eeb76d6c5d1a09a494e22b8df4389ab4f,formal-v1/units/gpt4o/eda_201/3/direct/record.json
gpt4o,eda_201,2,analogcoder,False,1,2660,0,formal-v1,records/units/gpt4o/eda_201/2/analogcoder/record.json,3f4ce94ba5f7b44091d9a1df2196e1cde9acb2a0e9b87009443336437f461694,formal-v1/units/gpt4o/eda_201/2/analogcoder/record.json
gpt4o,eda_201,2,spicepilot,False,3,12706,0,formal-v1,records/units/gpt4o/eda_201/2/spicepilot/record.json,daa2695a11c02d101aaee9ff06f51ed33d32f2badbf1ad68365e1fce2ed8b0f3,formal-v1/units/gpt4o/eda_201/2/spicepilot/record.json
gpt4o,eda_201,2,direct,True,3,2027,0,formal-v1,records/units/gpt4o/eda_201/2/direct/record.json,18b5f4cb8bf06091b5fb9e4bb4eb7b4c1900a6ebe815a2c241dc732393472644,formal-v1/units/gpt4o/eda_201/2/direct/record.json
gpt4o,eda_206,1,analogcoder,False,1,2912,0,formal-v1,records/units/gpt4o/eda_206/1/analogcoder/record.json,430319061134bfb974110040661eea0c2ee0bc11545a94d9bda798abfc0e5276,formal-v1/units/gpt4o/eda_206/1/analogcoder/record.json
gpt4o,eda_206,1,spicepilot,False,3,13629,0,formal-v1,records/units/gpt4o/eda_206/1/spicepilot/record.json,e5051ccfd24e6552c9041525fe1eb0fda3f0780f4c2521ec675efa146f1a2e73,formal-v1/units/gpt4o/eda_206/1/spicepilot/record.json
gpt4o,eda_206,1,direct,False,3,2932,0,formal-v1,records/units/gpt4o/eda_206/1/direct/record.json,a7213aba2edc76b4b5b1d46c57cf5d7882c71eb389d044fc74a11102a636aef6,formal-v1/units/gpt4o/eda_206/1/direct/record.json
gpt4o,eda_206,3,analogcoder,False,1,2906,0,formal-v1,records/units/gpt4o/eda_206/3/analogcoder/record.json,1cc9af7e9e75c0dac554cfe02673dde134b88315c694c334e09d598a070af877,formal-v1/units/gpt4o/eda_206/3/analogcoder/record.json
gpt4o,eda_206,3,spicepilot,False,3,13671,0,formal-v1,records/units/gpt4o/eda_206/3/spicepilot/record.json,66b42dc23bff93a749e9efb8eee017c525a915bf4a42f50cb89005cb9148de60,formal-v1/units/gpt4o/eda_206/3/spicepilot/record.json
gpt4o,eda_206,3,direct,False,3,2894,0,formal-v1,records/units/gpt4o/eda_206/3/direct/record.json,f3779223ab52ca133b0913ab8553fd92267e9997a4917b17971315fb715b8d02,formal-v1/units/gpt4o/eda_206/3/direct/record.json
gpt4o,eda_206,2,analogcoder,False,1,2924,0,formal-v1,records/units/gpt4o/eda_206/2/analogcoder/record.json,358022a486c7b1d2012e0e97924486677db25ba8403402b392f2844d2dfeaf60,formal-v1/units/gpt4o/eda_206/2/analogcoder/record.json
gpt4o,eda_206,2,spicepilot,False,3,13653,0,formal-v1,records/units/gpt4o/eda_206/2/spicepilot/record.json,b335405d3fcd6a5f52080d855e9b1d630f0150e74ec93535909a89d1b5f93c0a,formal-v1/units/gpt4o/eda_206/2/spicepilot/record.json
gpt4o,eda_206,2,direct,False,3,2951,0,formal-v1,records/units/gpt4o/eda_206/2/direct/record.json,a4c5ce1252cab0829511741851f152ba83da424389194caf262b14b6e562927c,formal-v1/units/gpt4o/eda_206/2/direct/record.json
gpt4o,eda_024,1,analogcoder,False,1,2666,0,formal-v1,records/units/gpt4o/eda_024/1/analogcoder/record.json,d514b538914c7a12b4ceedbeacf0b5ba01a1987788a3be29e13cf405d82f1469,formal-v1/units/gpt4o/eda_024/1/analogcoder/record.json
