model,task,repeat,arm,passed,source,exposure,generation_calls,generation_tokens_known,preparation_calls_required,preparation_tokens_required,attempts,first_attempt_pass,failure_stage,finite_measurement,relative_deviation,numerical_loss,simulator_logs_retained,record
gpt4o,eda_006,2,analogcoder,False,formal-v1,development,1,2556,0,0,1,False,specification,True,0.5700276318181818,0.5700276318181818,2,records/units/gpt4o/eda_006/2/analogcoder/record.json
gpt4o,eda_006,2,spicepilot,False,formal-v1,development,3,12634,0,0,3,False,specification,True,0.9168221534545455,0.9168221534545455,6,records/units/gpt4o/eda_006/2/spicepilot/record.json
gpt4o,eda_006,2,direct,False,formal-v1,development,3,2076,0,0,3,False,specification,True,0.9189362645454545,0.9189362645454545,6,records/units/gpt4o/eda_006/2/direct/record.json
gpt4o,eda_008,1,analogcoder,False,formal-v1,development,1,2588,0,0,1,False,simulation,False,,1,2,records/units/gpt4o/eda_008/1/analogcoder/record.json
gpt4o,eda_008,1,spicepilot,False,formal-v1,development,3,12674,0,0,3,False,specification,True,0.9901201520399999,0.9901201520399999,6,records/units/gpt4o/eda_008/1/spicepilot/record.json
gpt4o,eda_008,1,direct,False,formal-v1,development,3,2071,0,0,3,False,specification,True,0.9999903295573,0.9999903295573,6,records/units/gpt4o/eda_008/1/direct/record.json
gpt4o,eda_008,3,analogcoder,False,formal-v1,development,1,2645,0,0,1,False,simulation,False,,1,2,records/units/gpt4o/eda_008/3/analogcoder/record.json
gpt4o,eda_008,3,spicepilot,False,formal-v1,development,3,12828,0,0,3,False,specification,True,0.99005820529,0.99005820529,6,records/units/gpt4o/eda_008/3/spicepilot/record.json
gpt4o,eda_008,3,direct,False,formal-v1,development,3,2078,0,0,3,False,specification,True,0.989895643,0.989895643,6,records/units/gpt4o/eda_008/3/direct/record.json
gpt4o,eda_008,2,analogcoder,False,formal-v1,development,1,2611,0,0,1,False,specification,True,0.99004164382,0.99004164382,2,records/units/gpt4o/eda_008/2/analogcoder/record.json
gpt4o,eda_008,2,spicepilot,False,formal-v1,development,3,13014,0,0,3,False,specification,True,0.9898477884000001,0.9898477884000001,6,records/units/gpt4o/eda_008/2/spicepilot/record.json
gpt4o,eda_008,2,direct,False,formal-v1,development,3,2098,0,0,3,False,specification,True,0.999452701947,0.999452701947,6,records/units/gpt4o/eda_008/2/direct/record.json
gpt4o,eda_037,1,analogcoder,False,formal-v1,development,1,2725,0,0,1,False,simulation,False,,1,2,records/units/gpt4o/eda_037/1/analogcoder/record.json
gpt4o,eda_037,1,spicepilot,False,formal-v1,development,3,13115,0,0,3,False,generation,False,,1,0,records/units/gpt4o/eda_037/1/spicepilot/record.json
gpt4o,eda_037,1,direct,False,formal-v1,development,3,2301,0,0,3,False,specification,True,2.78096364e+82,1,6,records/units/gpt4o/eda_037/1/direct/record.json
gpt4o,eda_037,3,analogcoder,False,formal-v1,development,2,6086,0,0,2,False,simulation,False,,1,2,records/units/gpt4o/eda_037/3/analogcoder/record.json
gpt4o,eda_037,3,spicepilot,False,formal-v1,development,3,13105,0,0,3,False,generation,False,,1,2,records/units/gpt4o/eda_037/3/spicepilot/record.json
gpt4o,eda_037,3,direct,False,formal-v1,development,3,2284,0,0,3,False,specification,True,2.78096364e+82,1,6,records/units/gpt4o/eda_037/3/direct/record.json
